base_score,[481.86679691]
age,Score
"(-inf, 36.0]",-4.3686599554585035
"(36.0, 52.0]",-2.554001378789525
"(52.0, 61.0]",1.3661202897272013
"(61.0, 68.0]",7.510103987779546
"(68.0, inf]",12.460977702191057
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",48.217206999126695
"(0.099, 0.297]",14.114761802363452
"(0.297, 0.465]",-2.6751668820543317
"(0.465, 0.985]",-23.41034001024957
"(0.985, 1.0]",-9.619761134167815
"(1.0, inf]",-45.19037190002233
DebtRatio,Score
"(-inf, 0.0158]",31.214491200619978
"(0.0158, 0.503]",-0.0837615864985694
"(0.503, 1.453]",-9.941000237245307
"(1.453, inf]",3.4038099710595398
MonthlyIncome,Score
"(-inf, 0.39]",8.970450429744073
"(0.39, 7716.0]",-2.049402579536815
"(7716.0, inf]",3.0285308616753333
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.267490646082853
"(1.0, 3.0]",-3.0399594374712535
"(3.0, 5.0]",-0.37251936579892286
"(5.0, 17.0]",1.127234040386384
"(17.0, inf]",3.8082870530571484
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.592954335715268
"(0.0, 1.0]",-14.014935214822167
"(1.0, 2.0]",-21.556839208170693
"(2.0, inf]",-24.069763600498955
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.7873192800977398
"(0.0, 1.0]",-28.26455110141665
"(1.0, 2.0]",-36.28220604907298
"(2.0, inf]",-38.387476377966216
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.405415033402415
"(0.0, 1.0]",5.226148984353072
"(1.0, 2.0]",16.61673480491675
"(2.0, 4.0]",10.108809094091967
"(4.0, inf]",-11.25854275348545
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9862416449524656
"(0.0, 1.0]",-11.120829765156618
"(1.0, 2.0]",-14.274705746123864
"(2.0, inf]",-14.827035698777081
NumberOfDependents,Score
"(-inf, 0.0]",14.200944938833738
"(0.0, 1.0]",-13.309883143050756
"(1.0, 2.0]",-11.83646982579523
"(2.0, inf]",-11.128855909979059
